責任類型,維修項目類別,維修項目名稱,常見維修反應細項,專業檢查方法,處理建議 (SOP) 補充,頁面連結,Youtube 影片說明
共用部分 ,建築物主體,屋頂/外牆滲漏,屋頂/頂樓平台或外牆大面積滲漏水。,熱顯像儀定位破損點，試水測試。,立即通知管委會立案，委託專業廠商進行防水工程規劃及施作。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,建築物主體,外牆磁磚剝落,外牆磁磚剝落或有高風險空心磚。,目視檢查，用橡膠槌進行敲擊測試（空心聲）。,立即拉設警示線，預防性敲除空心磁磚，進行修復。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,建築物主體,地下室樑柱爆筋,地下室樑柱水泥剝落、鋼筋外露（爆筋）。,混凝土回彈儀測試、評估鋼筋鏽蝕與中性化程度。,立即除鏽、塗布防鏽劑、並以聚合物水泥砂漿修補，確保結構安全。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,機電消防設備,電梯運行異常,電梯運行異音/異常振動、按鈕失靈。,乘坐動態測試，檢查鋼索張力、煞車間隙、門機系統。,立即要求電梯保養廠商進行緊急檢查及維修。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,機電消防設備,消防系統異常,消防受信總機顯示異常或公共區消防設備故障。,消防設備師年度檢修申報，判讀總機故障代碼。,立即請合格消防設備師處理。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,機電消防設備,緊急廣播失效,社區緊急廣播系統無法作用或聲音不清晰。,測試各樓層揚聲器輸出功率及語音清晰度。,立即維修，確保緊急情況下訊息能有效傳達。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,機電消防設備,機械車位故障,機械車位升降平台故障或有異音。,查閱年度/季度保養紀錄，測試升降平穩度及安全裝置。,要求專業廠商緊急維修，確保操作安全。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共管線/水務,公共排水幹管堵塞,公共排水幹管堵塞導致多戶受影響。,內視鏡攝影、檢查地下室管道間是否有污水溢出。,聯繫專業水刀車進行高壓疏通及清洗。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共管線/水務,馬達噪音或故障,抽水馬達/加壓馬達噪音過大或無法啟動。,分貝計測量噪音值，檢查馬達電源、壓力桶、避震墊。,馬達增加避震墊，故障時立即備援或更換。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共管線/水務,公共水質異常,公共用水水質異常、有異味或雜質。,定期進行水質檢測（餘氯、TDS），檢查水箱密閉性。,立即清洗公共水箱/水塔，並檢查進水管線。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共環境與管理,垃圾場異味重,垃圾場或資源回收區異味重、清潔不徹底。,檢查排風系統運作狀況、清潔公司作業頻率。,要求清潔公司加強清潔與消毒，可增加除臭設備。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共環境與管理,照明感應不良,樓梯間/走道公共照明感應不良或燈光過暗。,檢查感應器（PIR Sensor）靈敏度、燈具壽命。,調整感應器角度或靈敏度，更換節能 LED 燈具。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共環境與管理,門禁系統故障,門禁系統刷卡感應不良或故障。,檢查門禁主機電源、連線狀態及讀卡機是否有水氣。,立即通知廠商更換損壞的讀卡機或調整系統。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,公共環境與管理,警衛服務不佳,警衛服務態度不佳或巡邏不確實。,設計住戶滿意度問卷、查閱警衛巡邏紀錄。,與保全公司溝通，要求加強訓練、調整排班或汰換人員。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,滲漏水與結構,樓上漏水糾紛,樓上滲水到樓下天花板或牆壁。,分區段試水測試，委託專業公正單位進行抓漏與鑑定。,優先協商調解，依鑑定結果由責任方負責修復。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,滲漏水與結構,違建/重物影響結構,頂樓或露臺違規增建/放置重物影響結構。,請結構技師評估額外載重是否影響安全。,管委會通知限期改善或移除，必要時通報建管單位。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,鄰里與安寧,鄰居噪音擾鄰,樓上或鄰居發出高分貝噪音或持續性聲響。,使用分貝計測量噪音值，錄影記錄吠叫/噪音時段。,管委會依規約勸導，勸導不聽可依《公寓大廈管理條例》報請主管機關裁罰。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,鄰里與安寧,陽台吸菸菸味,鄰居在陽台或窗邊吸菸造成菸味飄散。,現場查訪，提供錄影或目擊證人佐證。,管委會依規約或會議決議勸導，或設立禁菸區。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,鄰里與安寧,隱私侵犯,鄰居安裝監視器鏡頭對準自家大門或窗戶。,拍照或錄影存證，確認鏡頭拍攝範圍。,管委會協調調整鏡頭角度，若不成可循法律途徑主張隱私權。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,法規與管理,公設佔用雜物,住戶佔用公共空間（梯間、走道）堆放雜物。,拍照記錄堆放位置、物品類型及佔用面積。,管委會發函限期移除，逾期未處理可視為廢棄物清運並收取費用。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
共用部分 ,法規與管理,裝潢施工爭議,裝潢工程施工噪音超時或違規運料。,確認社區規約對施工時段的限制，使用分貝計測量。,管委會要求施工廠商停止違規施工，可依規約對住戶進行罰款或暫停公設使用權。,"https://www.sky-family.net/api/line/index.php?
corp=2019082302&key=4lReDDkl3%40iCNBB9",https://youtu.be/yddFy483ta8
